"Falardeau, Pierre"
"Poulin, Julien"
"Graham, Dan"
"Birnbaum, Dara"
"Glier, Mike"
"Lippard, Lucy"
"Rickaby, Tony"
"Immendorff, Jorg"
"Fitzgibbon, Coleen"
"Williams, Reese"
"Wex, Marianne"
"Naidus, Beverly"
"Hendricks, Jon"
"Toche, Jean"
Throbbing Gristle
"Pas, Gerard"
"Conti, Haroldo"
"Galeano, Eduardo"
"WOOSTER GROUP, The"
"Lecompte, Elizabeth"
"Bechtol, Valerie"
"Keller, Julie"
Mother Art
"Lacy, Suzanne"
"Cagan, Steve"
"Arnold, Kathy"
"Hughes, Mary Lynn"
"Millner, Sherry"
"Marruwarr, Y."
"Martin, Messi"
"Shepp, Archie"
"Murray, Ian"
"Brook, Michael"
"Tucker, John"
"Gaysek, Fred"
"Westerkamp, Hildegard"
"Eno, Brian"
Horizontal Vertical Band (The)
"Monro, Jim"
"Patwardhan, Anand"
"May, Derek"
"Wong, Paul"
"Birnbaum, Dara"
"Anderson, Laurie"
"Sondheim, Alan"
"Brand, Dionne"
"Pelican Players, The"
"Cardenal, Ernesto"
"Mars, Tanya"
"Householder, Johanna"
Anna Project Collective (Collective)
"Kelly, Mary"
"Borden, Lizzie"
"Khuri, Suzanne Odette"
"Johnston, Jude"
"Raudvee, Leena"
"Johnson, Nancy"
"Mojica, Monique"
"Mercasty, Billy"
"Miquel, Gloria"
"Le Compte, Liz"
"WOOSTER GROUP, The"
"Mtwa, Percy"
"Ngema, Mbongeni"
"Simon, Barney"
"Zaag, Elizabeth Vander"
Gayap Rhythm Drummers (The)
"Carter, Betty"
Mama Quilla II (Collective)
"Sky, Laura"
"Meszaros, Marta"
"Taubin, Amy"
"Beckman, Ericka"
"Parkerson, Michele"
"Shearer, Jackie"
"Edelson, Mary Beth"
"Stevens, May"
"Sharon, Miriam"
"Perin, Romaine"
"Becker, Nan"
"Fraser, John"
"Ruebsaat, Rika"
"Bartlett, Jon"
"Walls, Jerry"
"Sturman, Susan"
"Cavellini, Guglielmo Achille"
Mobile Image (Collective)
"Galloway, Kit"
"Rabinowitz, Sherrie"
"Rooney, Frank"
"Wright, Willie"
"Lucas, Harry"
"Mercury, Eric"
"McClean, Cy"
"Williamson, Cris"
"Wilson, Nancy"
Throbbing Gristle
"Orridge, Genesis P."
"Carter, Chris"
"Tutti, Cosey Fanni"
"Christopherson, Peter"
"Vicious, Sid"
"Rotten, Johnny"
"Temple, Julien"
"Tulaugak, Alaci"
"Amarualik, Lucy"
"Raincoats, The"
"da Silva, Anna"
"Birch, Gina"
Palmolive
"Aspinall, Vicky"
Deutsch Amerikanische Freundschaft (D.A.F.)
"Government, The"
"Slits, The"
"Koff, David"
"Hearthfield, John"
HACKNEY FLASHERS (Collective)
"Astman, Barbara"
"Lijn, Liliane"
"Anderson, Kathy"
"Graham, Heather"
"Barfoot, Joan"
"Boucher, Denise"
"Millett, Kate"
"Wittig, Monique"
"Johnston, Jill"
"Astman, Barbara"
"Brossard, Nicole"
"Marchessault, Jovette"
"Blais, Marie-Claire"
"Lasnier, Rina"
"Renaud, Thérèse"
"Gleyzer, Raymondo"
"Elwes, Catherine"
"Kidron, Beeban"
"Richardson, Amanda"
"Jackson, Michael"
"Winter, Chris"
"Blackbridge, Persimmon"
"Imamura, Shohei"
"Dorrie, Doris"
"Erdoss, Pal"
"Frenkel, Vera"
"Dobkin, Alix"
"Wong, Paul"
"Reinhardt, Jeanette"
"Daniels, Gina"
"Bourgeois, Gary"
"Thiong'o, Ngugi Wa"
D.o.a.
"Creighton-Kelly, Chris"
"Shedden, Leslie"
"Nicol, Nancy"
"Lundman, Janis"
"Wong, Paul"
"Chan, Tony"
"Paik, Nam June"
"Oliveros, Marlin"
Tara Arts Group (Collective)
"Thiong'o, Ngugi Wa"
"Steele, Lisa"
"Tomczak, Kim"
"Montague, Masani"
"Haughton, Devon"
"Mandiela, Ahdri Zhina"
"Lozano, Jorge"
"Longfellow, Brenda"
"Mcmahon, Marion"
"Armatage, Kay"
"Garcia, Luis Osvaldo"
"Doyle, Judith"
"Ahmed, Yanus"
"Bean, Bob"
"Craig, David"
"Lippard, Lucy"
"Arnold, Kathy"
"Kaplan, Nelly"
"Baillargeon, Paule"
"Armitage, Kay"
"Hammer, Barbara"
"Chitty, Elizabeth"
"Klein, Bonnie"
"Henderson, Ann"
"Ryan, Toby"
"Wexley, John"
"Constable, Mike"
"Riordon, Michael"
"Shaw, Rod"
"Fairskye, Merilyn"
"Dolk, Michiel"
"Stewart, Jeff"
"Hay, David"
"Clancy, Marg"
"Lander, Ned"
"Gruben, Patricia"
"Cortez, Jayne"
"Ulloa, Yolanda"
"Salado, Minerva"
"Alonso, Digdora"
"Morejon, Nancy"
"Rodriguez, Reina Maria"
Crowsfeet Dance Collective (Collective)
Little Theatre Groupe (Collective)
People's Little Theatre (Collective)
"Dutta, Madhushri"
Time and Space Limited (Collective)
"Serra, Graciela"
"Fornéz, Maria Irene"
"Pelletier, Pol"
"Shenkar, Joan"
"Ho, Yim"
"Coutinho, Eduardo"
"Olivera, Hector"
"Almodovar, Pedro"
"Gregson, Sandra"
"Branfman, Suchi"
"Malaret, Marel"
"Barling, Marion"
"Tenhaaf, Nell"
"Mavor, Ann"
"Hanson, John"
"Davis, Lynn"
"Khur, Yan"
"Mack, John"
"Von Gloeden, Baron Wilhelm"
"Harvey, Jonathan"
"Layzell, Richard"
"Nannucci, Maurizio"
"Beuys, Joseph"
"Aperque, Ingrid"
"Bridle, Alan"
"Rosenthal, Alan"
"Hollingsworth, Michael"
"Trengove, Kerry"
"Horn, Rebecca"
"Rosenbach, Ulrike"
"Knoebel, W."
"McCrimon, Bruce"
Mitchelangelo
"Reed, Chris"
"Tomczak, Kim"
"George, Peter"
"Cummins, Jim"
"Donovan, Keith"
"Craig, Kate"
Devo
"Government, The"
"Crutchfield, R. L."
Flirt
"Perry, Janice"
Four the Moment (Collective)
"Mabon, Johanne"
"Spence, Barb"
"Obosawin, Alanis"
"Haas, Maara"
"Hill, Miche"
"Marlatt, Daphne"
"Warland, Betsy"
